2024-03-09 03:37:42,830 - TeaMonitor Computer Network Activity -INFO - Соединение 95: Имя процесса: svchost.exe, PID: 1616, Протокол: ::, Порт: 135, Тип соединения: TCP
2024-03-09 03:37:42,830 - TeaMonitor Computer Network Activity -INFO - Соединение 96: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54574, Тип соединения: TCP
2024-03-09 03:37:42,835 - TeaMonitor Computer Network Activity -INFO - Соединение 97: Имя процесса: svchost.exe, PID: 13696, Протокол: 192.168.1.168, Порт: 1900, Тип соединения: UDP
2024-03-09 03:37:42,835 - TeaMonitor Computer Network Activity -INFO - Соединение 98: Имя процесса: Discord.exe, PID: 13708, Протокол: 192.168.1.168, Порт: 56756, Тип соединения: TCP
2024-03-09 03:37:42,835 - TeaMonitor Computer Network Activity -INFO - Соединение 99: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54559, Тип соединения: TCP
2024-03-09 03:37:42,835 - TeaMonitor Computer Network Activity -INFO - Соединение 100: Имя процесса: steamwebhelper.exe, PID: 2432, Протокол: 127.0.0.1, Порт: 61407, Тип соединения: TCP
2024-03-09 03:37:42,835 - TeaMonitor Computer Network Activity -INFO - Соединение 101: Имя процесса: steam.exe, PID: 8548, Протокол: 0.0.0.0, Порт: 27036, Тип соединения: UDP
2024-03-09 03:37:42,840 - TeaMonitor Computer Network Activity -INFO - Соединение 102: Имя процесса: svchost.exe, PID: 2496, Протокол: ::, Порт: 5355, Тип соединения: UDP
2024-03-09 03:37:42,840 - TeaMonitor Computer Network Activity -INFO - Соединение 103: Имя процесса: steam.exe, PID: 8548, Протокол: 127.0.0.1, Порт: 60682, Тип соединения: TCP
2024-03-09 03:37:42,840 - TeaMonitor Computer Network Activity -INFO - Соединение 104: Имя процесса: browser.exe, PID: 16140, Протокол: ::, Порт: 5353, Тип соединения: UDP
2024-03-09 03:37:42,845 - TeaMonitor Computer Network Activity -INFO - Соединение 105: Имя процесса: System, PID: 4, Протокол: 192.168.1.168, Порт: 138, Тип соединения: UDP
2024-03-09 03:37:42,849 - TeaMonitor Computer Network Activity -INFO - Соединение 106: Имя процесса: svchost.exe, PID: 13696, Протокол: 127.0.0.1, Порт: 53419, Тип соединения: UDP
2024-03-09 03:37:42,854 - TeaMonitor Computer Network Activity -INFO - Соединение 107: Имя процесса: wininit.exe, PID: 1124, Протокол: ::, Порт: 49665, Тип соединения: TCP
2024-03-09 03:37:42,859 - TeaMonitor Computer Network Activity -INFO - Соединение 108: Имя процесса: svchost.exe, PID: 2496, Протокол: ::, Порт: 5353, Тип соединения: UDP
2024-03-09 03:37:42,863 - TeaMonitor Computer Network Activity -INFO - Соединение 109: Имя процесса: svchost.exe, PID: 4364, Протокол: ::, Порт: 500, Тип соединения: UDP
2024-03-09 03:37:42,863 - TeaMonitor Computer Network Activity -INFO - Соединение 110: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54563, Тип соединения: TCP
2024-03-09 03:37:42,863 - TeaMonitor Computer Network Activity -INFO - Соединение 111: Имя процесса: steam.exe, PID: 8548, Протокол: 127.0.0.1, Порт: 27060, Тип соединения: TCP
2024-03-09 03:37:42,867 - TeaMonitor Computer Network Activity -INFO - Соединение 113: Имя процесса: lsass.exe, PID: 1308, Протокол: ::, Порт: 49664, Тип соединения: TCP
2024-03-09 03:37:42,867 - TeaMonitor Computer Network Activity -INFO - Соединение 114: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 56437, Тип соединения: TCP
2024-03-09 03:37:42,867 - TeaMonitor Computer Network Activity -INFO - Соединение 115: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54552, Тип соединения: TCP
